RUL_bucket,mean_error,std_error,mae,count
Near Failure,2.5873778733929016,6.010263971488937,4.569004238608636,600
Mid Life,7.940979308945779,15.670701541807855,13.841760584893931,1000
Early Life,-6.049423498065871,13.297538068193637,11.340271524891778,2507
